차량명	배기량	연비	가격(단위:만)	연료	차량유형	사진파일
렉서스 RX	3456	8.9	8360	휘발유	준대형 SUV	./3조/차량사진/렉서스RX.png
혼다 어코드	1498	13.9	3790	휘발유	중형 세단	./3조/차량사진/혼다어코드.png
혼다 CR-V	1498	12.6	3900	휘발유	준중형 SUV	./3조/차량사진/혼다CRV.png
혼다 파일럿	3471	8.4	5950	휘발유	준대형 SUV	./3조/차량사진/혼다파일럿.png
혼다 오딧세이	3471	9	5790	휘발유	대형 RV	./3조/차량사진/혼다오딧세이.png
토요타 프리우스 프라임	1798	21.4	4934	휘발유	준중형 해치백	./3조/차량사진/토요타프리우스프라임.png
토요타 프리우스	1798	22.4	3378	휘발유	준중형 해치백	./3조/차량사진/토요타프리우스.png
토요타 프리우스 C	1497	18.6	2590	휘발유	소형 해치백	./3조/차량사진/토요타프리우스C.png
토요타 캠리	2487	12.3	3669	휘발유	중형 세단	./3조/차량사진/토요타캠리.png
토요타 라브4	2487	11.5	3600	휘발유	준중형 SUV	./3조/차량사진/토요타라브4.png
포르쉐 카이맨	2497	9	9830	휘발유	스포츠카 쿠페	./3조/차량사진/포르쉐카이맨.png
포르쉐 박스터	1998	9.4	8960	휘발유	스포츠카 컨버터블	./3조/차량사진/포르쉐박스터.png
포르쉐 911 카레라	2981	8.2	14790	휘발유	스포츠카 쿠페	./3조/차량사진/포르쉐911카레라.png
포르쉐 911 타르가	2981	8.2	17270	휘발유	스포츠카 컨버터블	./3조/차량사진/포르쉐911타르가.png
포르쉐 911 터보	3800	7.6	22940	휘발유	스포츠카 쿠페	./3조/차량사진/포르쉐911터보.png
포르쉐 파나메라	2894	8	14400	휘발유	대형 세단	./3조/차량사진/포르쉐파나메라.png
포르쉐 마칸	2894	7.8	9560	휘발유	중형 SUV	./3조/차량사진/포르쉐마칸.png
포르쉐 카이엔	2995	7.8	11120	휘발유	준대형 SUV	./3조/차량사진/포르쉐카이엔.png
마세라티 기블리	1995	8.9	12450	휘발유	준대형 세단	./3조/차량사진/마세라티기블리.png
마세라티 콰트로포르테	2979	7.4	17880	휘발유	대형 세단	./3조/차량사진/마세라티콰트로포르테.png
마세라티 그란투리스모	4691	6.2	23400	휘발유	스포츠카 쿠페	./3조/차량사진/마세라티그란투리스모.png
마세라티 그란카브리오	4691	6.1	25400	휘발유	스포츠카 컨버터블	./3조/차량사진/마세라티그란카브리오.png
마세라티 르반떼	1995	7.9	12990	휘발유	준대형 SUV	./3조/차량사진/마세라티르반떼.png
